,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration,simplified,Annotation
2842,Hartford Underwriters Insurance Company,7010862,2021-05-04,2021-05-17,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,13,Claim Settled,
2843,GEICO General Insurance Company,7002678,2020-07-02,2020-07-20,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
2844,"Oxford Health Plans (CT), Inc",7020835,2019-09-18,2019-11-14,Group,Health Only,Claim Handling,Claim Delay,Insufficient Information,,0.0,Closed,57,Claim Dismissed,
2845,Progressive Direct Insurance Company,7051636,2023-02-11,2023-03-06,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Claim Paid,0.0,Closed,23,Claim Settled,
2846,Lincoln Heritage Life Insurance Company,7052902,2023-03-27,2023-06-12,Individual Life,Whole Life,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed,77,Claim Settled,
2847,Virginia Surety Company Inc.,7008168,2017-10-31,2018-01-12,Travel,,Claim Handling,Claim Delay,Claim Settled,,612.77,Closed,73,Claim Settled,
2848,Standard Fire Insurance Company (The),7006978,2021-10-22,2022-03-02,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed,131,Claim Settled,
2849,Westchester Fire Insurance Company,7042008,2022-01-12,2022-01-25,Pet Insurance,,PolicyHolder Service,Premium Notice/Billing,Company Position Overturned,Corrective Action,0.0,Closed,13,Claim Dismissed,
2850,Mutual of America Life Insurance Company,7047435,2022-08-23,2022-10-03,Individual Annuities,Roth,Claim Handling,Claim Delay,Compromised Settlement/Resolution,Furnished Information,0.0,Closed,41,Claim Settled,
2851,American Fire and Casualty Company,7043818,2022-03-17,2022-04-08,Commercial,Collision,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,22,Claim Settled,
2852,"ConnectiCare Insurance Company, Inc",7007035,2018-01-11,2018-01-29,Individual,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,Compromised Settlement/Resolution,,2145.96,Closed,18,Claim Settled,
2853,Allstate Fire and Casualty Insurance Company,7003957,2020-10-01,2020-10-20,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
2854,GEICO General Insurance Company,7012198,2019-02-14,2019-03-07,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Compromised Settlement/Resolution,,1102.31,Closed,21,Claim Settled,
2855,Allstate Fire and Casualty Insurance Company,7009162,2021-05-14,2021-06-01,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
2856,"ConnectiCare Benefits, Inc.",7053656,2023-04-24,2023-07-14,A & H,Health Only,Claim Handling,Prompt Pay,Company Position Substantiated,,0.0,Closed,81,Claim Settled,
2857,State Farm Fire & Casualty Company,7054007,2023-05-03,2023-06-12,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,10391.64,Closed,40,Claim Settled,
2858,Trumbull Insurance Company,7000571,2020-01-21,2020-02-13,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,23,Claim Settled,
2859,Esurance Insurance Company,7048483,2022-10-06,2022-11-15,Individual Private Passenger,Collision,Claim Handling,Claim Delays,Company Position Substantiated,Enter Arbitration,0.0,Closed,40,Claim Settled,
2860,Liberty Mutual Personal Insurance Company,7008475,2021-09-24,2021-10-18,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,24,Claim Settled,
2861,Patrons Mutual Insurance Company of Connecticut,7012001,2019-02-11,2019-03-12,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Claim Settled,,0.0,Closed,29,Claim Settled,
2862,Cigna Health and Life Insurance Company,7055643,2023-07-10,2023-07-14,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed,4,Claim Dismissed,
2863,Allstate Insurance Company,7007735,2021-09-15,2021-10-19,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,34,Claim Settled,
2864,Mid&ndash;Century Insurance Company,7005382,2021-01-08,2021-01-22,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2865,Aetna Life Insurance Company,7041314,2021-12-07,2022-01-06,A & H,A & H,Marketing & Sales,Health Privacy,Compromised Settlement/Resolution,Corrective Action,0.0,Closed,30,Claim Settled,
2866,Nationwide Mutual Insurance Company,7047597,2022-08-30,2022-10-05,Travel,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,36,Claim Settled,
2867,AmGUARD Insurance Company,7013225,2018-11-26,2018-12-10,Condo/Townhome,,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2868,State Farm Mutual Automobile Insurance Company,7049983,2022-12-08,2023-01-30,Individual Private Passenger,Liability,Claim Handling,Storage Fees,Company Position Overturned,Questionable,0.0,Closed,53,Claim Dismissed,
2869,Permanent General Assurance Corporation,7012093,2018-11-06,2019-01-04,Individual Private Passenger,Liability,Claim Handling,Subrogation,Claim Settled,,500.0,Closed,59,Claim Settled,
2870,United Services Automobile Association,7041684,2021-12-26,2022-01-11,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed,16,Claim Settled,
2871,Aetna Life Insurance Company,7006772,2021-10-19,2021-11-23,Individual,Long Term Care,PolicyHolder Service,Involuntary Termination by Plan,Compromised Settlement/Resolution,Policy Restored/Reinstated,0.0,Closed,35,Claim Settled,
2872,AIG Property Casualty Company,7042442,2022-01-27,2022-05-06,Homeowners,Hazard,Claim Handling,Claim Denial,Claim Settled,Contract Provision,9650.56,Closed,99,Claim Settled,
2873,Greater New York Mutual Insurance Company,7011031,2021-05-05,2021-05-19,Condo/Townhome,,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2874,State Farm Mutual Automobile Insurance Company,7021051,2019-04-24,2019-05-21,Individual Private Passenger,Physical Damage,Claim Handling,Subrogation,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
2875,Amica Mutual Insurance Company,7008184,2018-01-25,2018-04-04,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Claim Settled,,0.0,Closed,69,Claim Settled,
2876,Integris Insurance Company,7051253,2023-01-31,2023-02-02,,,Claim Handling,Unsatisfactory Settlement/Offer,Referred to Another State’s Dept of Insurance,No Cause For Action,0.0,Closed,2,Claim Dismissed,
2877,GEICO Indemnity Company,7001960,2020-05-07,2020-05-29,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,,460.18,Closed,22,Claim Settled,
2878,State Farm Fire & Casualty Company,7041844,2022-01-04,2022-01-18,Individual Private Passenger,Collision,Marketing & Sales,No Coverage/Premium Paid,Company Position Substantiated,Company Position Upheld,0.0,Closed,14,Claim Settled,
2879,"Oxford Health Plans (CT), Inc",7049013,2022-10-31,2022-11-04,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,4,Claim Settled,
2880,Nationwide Mutual Insurance Company,7002618,2020-06-29,2020-07-16,Individual Private Passenger,Physical Damage,Claim Handling,Claim Procedure,Company Position Substantiated,,0.0,Closed,17,Claim Settled,
2881,Trumbull Insurance Company,7021437,2019-04-30,2019-06-03,Individual Private Passenger,Physical Damage,Claim Handling,Claim Procedure,Company Position Substantiated,,0.0,Closed,34,Claim Settled,
2882,Government Employees Insurance Company,7044626,2022-04-24,2022-05-03,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,9,Claim Settled,
2883,Allstate Fire and Casualty Insurance Company,7020469,2019-04-12,2019-05-21,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,39,Claim Settled,
2884,Standard Fire Insurance Company (The),7047008,2022-08-03,2022-08-12,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,9,Claim Settled,
2885,"Anthem Health Plans, Inc",7011095,2021-06-16,2021-06-30,A & H,,Claim Handling,Claim Denial,Claim Settled,,230.41,Closed,14,Claim Settled,
2886,Argonaut Insurance Company,7018990,2019-09-27,2019-10-21,General,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,24,Claim Settled,
2887,Horace Mann Property & Casualty Insurance Company,7010262,2021-04-23,2021-05-13,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,20,Claim Settled,
2888,Nationwide General Insurance Company,7006304,2018-02-13,2018-03-12,Individual Private Passenger,Physical Damage,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
2889,Progressive Direct Insurance Company,7006444,2018-01-02,2018-01-24,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,22,Claim Settled,
2890,Hartford Life and Accident Insurance Company,7044661,2022-04-25,2022-05-10,Individual Life,Whole Life,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Furnished Information,0.0,Closed,15,Claim Settled,
2891,Standard Fire Insurance Company (The),7019220,2019-05-21,2019-11-07,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Claim Settled,,0.0,Closed,170,Claim Settled,
2892,Aetna Life Insurance Company,7042367,2022-01-25,2022-04-19,Individual Life,Universal,Claim Handling,Carrier Never Received Claim,Complaint Withdrawn,Record Only,0.0,Closed,84,Claim Dismissed,
2893,Aetna Life Insurance Company,7041262,2021-12-03,2021-12-21,A & H,A & H,Claim Handling,Cost Containment,Insufficient Information,Record Only,0.0,Closed,18,Claim Dismissed,
2894,Progressive Direct Insurance Company,7004017,2020-10-05,2020-11-04,Individual Private Passenger,,Underwriting,Cancellation,Company Position Substantiated,,0.0,Closed,30,Claim Settled,
2895,Progressive Direct Insurance Company,7016518,2018-07-20,2018-08-22,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,33,Claim Settled,
2896,Hartford Fire Insurance Company,7003012,2020-07-28,2020-07-28,Other [Enter Coverage],,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,0,Claim Settled,
2897,LM General Insurance Company,7012260,2018-11-07,2018-11-27,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
2898,Colony Insurance Company,7049749,2022-11-29,2023-01-03,"Fire, Allied Lines",,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0.0,Closed,35,Claim Settled,
2899,Electric Insurance Company,7021737,2019-08-12,2019-09-17,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Compromised Settlement/Resolution,,1457.1,Closed,36,Claim Settled,
2900,GEICO Indemnity Company,7021953,2019-03-19,2019-04-16,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Claim Settled,,0.0,Closed,28,Claim Settled,
2901,New York Marine and General Insurance Company,7022030,2019-05-09,2019-06-05,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
2902,Provident Life and Accident Insurance Company,7054217,2023-05-12,2023-06-12,Individual Life,Whole Life,Marketing & Sales,Fraud/Forgery,Company Position Substantiated,Satisfactory Explanation,0.0,Closed,31,Claim Settled,
2903,State Farm Mutual Automobile Insurance Company,7009940,2021-05-28,2021-06-21,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Claim Settled,,0.0,Closed,24,Claim Settled,
2904,Plymouth Rock Assurance Corporation,7012524,2019-01-04,2019-01-28,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Claim Settled,,0.0,Closed,24,Claim Settled,
2905,State Farm Mutual Automobile Insurance Company,7017042,2018-06-20,2018-07-26,Individual Private Passenger,,Marketing & Sales,High Pressure Tactics,Claim Settled,,0.0,Closed,36,Claim Settled,
2906,GEICO Indemnity Company,7011417,2021-03-22,2021-04-12,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,21,Claim Settled,
2907,State Farm Mutual Automobile Insurance Company,7048799,2022-10-21,2022-11-10,Individual Private Passenger,Collision,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed,20,Claim Settled,
2908,Brighthouse Life Insurance Company,7040901,2021-11-16,2021-11-30,Individual,Long Term Care,Claim Handling,Claim Delays,Insufficient Information,,0.0,Closed,14,Claim Dismissed,
2909,Farmers Casualty Insurance Company,7021417,2019-04-29,2019-05-20,Individual Private Passenger,Physical Damage,Claim Handling,Subrogation,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
2910,Philadelphia Indemnity Insurance Company,7012985,2018-10-04,2019-01-14,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,102,Claim Settled,
2911,Brighthouse Life Insurance Company,7007379,2021-10-29,2021-11-18,Individual,Long Term Care,Claim Handling,Claim Delays,Claim Settled,Claim Paid,35805.0,Closed,20,Claim Settled,
2912,Nationwide Insurance Company of America,7005272,2020-12-01,2021-01-12,Individual,Dental,Claim Handling,Claim Denial,Claim Settled,,152.0,Closed,42,Claim Settled,
2913,National General Insurance Company,7043520,2022-03-04,2022-05-13,Federal Flood,,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Company Position Upheld,0.0,Closed,70,Claim Settled,
2914,Horace Mann Property & Casualty Insurance Company,7014764,2018-05-03,2018-05-23,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
2915,Allstate Insurance Company,7033743,2021-05-14,2021-05-14,Individual Private Passenger,Physical Damage,Claim Handling,Storage Fees,Company Position Substantiated,,0.0,Closed,0,Claim Settled,
2916,Allstate Insurance Company,7017270,2018-07-31,2018-08-14,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2917,USAA Casualty Insurance Company,7021896,2019-08-12,2019-08-27,Homeowners,Homeowners,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,15,Claim Settled,
2918,Heritage Indemnity Company,7010509,2021-06-07,2021-06-29,Extended Warranty & Service Contracts,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,22,Claim Settled,
2919,"Anthem Health Plans, Inc",7016665,2018-06-14,2018-07-09,Individual,Exchange&ndash;Individual Health,Claim Handling,Claim Delay,No Action Requested/Required,,1408.0,Closed,25,Claim Dismissed,
2920,Progressive Direct Insurance Company,7012542,2019-02-20,2019-03-12,Individual Private Passenger,,Underwriting,Cancellation,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
2921,GEICO Indemnity Company,7010424,2021-02-25,2021-03-09,Individual Private Passenger,,Underwriting,Nonrenewal,Company Position Substantiated,,0.0,Closed,12,Claim Settled,
2922,FirstComp Insurance Company,7004902,2020-11-04,2020-11-20,Workers&squo; Compensation,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
2923,GEICO General Insurance Company,7010620,2021-03-01,2021-03-16,Individual Private Passenger,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,15,Claim Settled,
2924,Amica Mutual Insurance Company,7017981,2019-11-26,2019-12-23,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
2925,Praetorian Insurance Company,7018747,2019-12-27,2020-02-14,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,49,Claim Settled,
2926,Progressive Casualty Insurance Company,7015030,2018-08-09,2018-09-24,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,46,Claim Settled,
2927,State Farm Fire & Casualty Company,7003355,2020-08-20,2020-08-31,Homeowners,Homeowners,Claim Handling,Claim Delay,Claim Settled,,304.63,Closed,11,Claim Settled,
2928,Pacific Specialty Insurance Company,7006570,2021-10-15,2022-01-07,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,84,Claim Settled,
2929,GEICO General Insurance Company,7018403,2019-10-22,2019-11-05,Individual Private Passenger,,Claim Handling,Claim Procedure,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2930,"Anthem Health Plans, Inc",7018434,2019-12-12,2020-01-06,Individual,Health Only,Claim Handling,Claim Denial,No Action Requested/Required,,5115.3,Closed,25,Claim Dismissed,
2931,Progressive Casualty Insurance Company,7018082,2019-10-09,2019-11-18,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,40,Claim Settled,
2932,Allstate Insurance Company,7019495,2019-08-23,2019-09-24,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,,0.0,Closed,32,Claim Settled,
2933,John Hancock Life Insurance Company (USA),7042276,2022-01-21,2022-04-06,Individual Life,Whole Life,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Satisfactory Explanation,0.0,Closed,75,Claim Settled,
2934,Universal North America Insurance Company,7017598,2018-05-01,2018-05-30,Condo/Townhome,,Claim Handling,Claim Procedure,Company Position Substantiated,,0.0,Closed,29,Claim Settled,
2935,Omni Insurance Company,7016392,2018-08-29,2018-09-19,Individual Private Passenger,Physical Damage,Claim Handling,Claim Procedure,Claim Settled,,0.0,Closed,21,Claim Settled,
2936,USAA Casualty Insurance Company,7009868,2021-04-15,2021-04-26,Individual Private Passenger,,Underwriting,Cancellation,Company Position Substantiated,,0.0,Closed,11,Claim Settled,
2937,Progressive Direct Insurance Company,7007575,2021-11-02,2021-11-19,Individual Private Passenger,Collision Damage Waiver (CDW),Claim Handling,Claim Procedure,Company Position Substantiated,,0.0,Closed,17,Claim Settled,
2938,GEICO General Insurance Company,7018810,2019-12-30,2020-02-13,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,45,Claim Settled,
2939,Hartford Life and Accident Insurance Company,7006582,2021-10-15,2021-11-23,Individual,Disability Income,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,39,Claim Settled,
2940,GEICO Indemnity Company,7047040,2022-08-04,2022-08-16,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,12,Claim Settled,
2941,State Farm Mutual Automobile Insurance Company,7002019,2020-04-16,2020-05-04,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
2942,Nationwide Mutual Fire Insurance Company,7017504,2018-08-03,2018-08-23,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
2943,Progressive Casualty Insurance Company,7051412,2023-02-03,2023-03-03,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Substantiated,Claim Paid,0.0,Closed,28,Claim Settled,
2944,USAA General Indemnity Company,7010973,2021-03-04,2021-03-31,Individual Private Passenger,,Underwriting,Cancellation,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
2945,Brighthouse Life Insurance Company,7042318,2022-01-24,2022-02-08,A & H,A & H,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed,15,Claim Settled,
2946,Brighthouse Life Insurance Company,7042017,2022-01-12,2022-02-08,A & H,A & H,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0.0,Closed,27,Claim Settled,
2947,Brighthouse Life Insurance Company,7042037,2022-01-12,2022-02-08,A & H,A & H,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0.0,Closed,27,Claim Settled,
2948,Brighthouse Life Insurance Company,7041213,2021-11-30,2022-01-27,A & H,A & H,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Furnished Information,0.0,Closed,58,Claim Settled,
2949,Brighthouse Life Insurance Company,7041387,2021-12-09,2022-02-14,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0.0,Closed,67,Claim Settled,
2950,Covenant Insurance Company,7012016,2018-09-19,2018-10-10,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
2951,American Commerce Insurance Company,7048620,2022-10-13,2022-11-21,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0.0,Closed,39,Claim Settled,
2952,State Farm Fire & Casualty Company,7015601,2018-08-20,2018-09-06,Homeowners,Homeowners,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,17,Claim Settled,
2953,Massachusetts Mutual Life Insurance Company,7011010,2021-05-04,2021-06-01,Individual Annuities,,PolicyHolder Service,Delays/No Response,No Action Requested/Required,,0.0,Closed,28,Claim Dismissed,
2954,Employers Preferred Insurance Company,7003617,2020-09-08,2020-10-05,Workers&squo; Compensation,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
2955,"Anthem Health Plans, Inc",7018894,2019-11-07,2019-12-16,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,,0.0,Closed,39,Claim Settled,
2956,Privilege Underwriters Reciprocal Exchange,7045999,2022-06-21,2022-07-13,Individual Private Passenger,Liability,Claim Handling,Denial,Compromised Settlement/Resolution,Voluntary Reconsideration,0.0,Closed,22,Claim Settled,
2957,Allstate Fire and Casualty Insurance Company,7002190,2020-05-26,2020-06-15,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
2958,GEICO General Insurance Company,7002620,2020-06-29,2020-07-13,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2959,Liberty Mutual Personal Insurance Company,7045807,2022-06-13,2022-06-27,Individual Private Passenger,Collision,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2960,"Foremost Insurance Company Grand Rapids, Michigan",7021819,2019-05-06,2019-05-24,Individual Private Passenger,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
2961,Federal Insurance Company,7020157,2019-06-10,2019-07-19,Professional/E&O,Professional Liability,Underwriting,Cancellation,Compromised Settlement/Resolution,,0.0,Closed,39,Claim Settled,
2962,Progressive Direct Insurance Company,7043229,2022-02-21,2022-04-01,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Enter Arbitration,0.0,Closed,39,Claim Settled,
2963,Hartford Life and Accident Insurance Company,7009648,2021-02-11,2021-02-24,Group,Disability Income,Claim Handling,Claim Delay,Claim Settled,,6200.0,Closed,13,Claim Settled,
2964,Amica Mutual Insurance Company,7012753,2019-03-05,2019-04-08,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,34,Claim Settled,
2965,Zurich American Insurance Company,7013092,2019-01-11,2019-02-01,General,,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
2966,Progressive Direct Insurance Company,7050746,2023-01-13,2023-02-23,Individual Private Passenger,,PolicyHolder Service,Unprofessional Conduct,Company Position Substantiated,,0.0,Closed,41,Claim Settled,
2967,"Foremost Insurance Company Grand Rapids, Michigan",7020582,2019-07-24,2019-10-21,Homeowners,Homeowners,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Satisfactory Explanation,0.0,Closed,89,Claim Settled,
2968,Progressive Direct Insurance Company,7048461,2022-10-06,2022-11-21,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Substantiated,Enter Arbitration,0.0,Closed,46,Claim Settled,
2969,Century&ndash;National Insurance Company,7049039,2022-11-01,2022-11-17,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
2970,Liberty Insurance Corporation,7045666,2022-06-04,2022-07-07,Renter/Tenants,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0.0,Closed,33,Claim Settled,
2971,GEICO General Insurance Company,7012822,2018-10-02,2018-10-17,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,15,Claim Settled,
2972,Firemans Fund Insurance Company,7002447,2020-06-15,2020-07-08,Other [Enter Coverage],,Claim Handling,Claim Denial,Company Position Substantiated,Satisfactory Explanation,0.0,Closed,23,Claim Settled,
2973,Amica Mutual Insurance Company,7007253,2018-02-28,2018-03-15,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,15,Claim Settled,
2974,Esurance Insurance Company,7050772,2023-01-13,2023-03-07,Individual Private Passenger,,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed,53,Claim Settled,
2975,General Insurance Company of America,7046223,2022-06-30,2022-07-18,Homeowners,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
2976,Allstate Fire and Casualty Insurance Company,7051136,2023-01-25,2023-02-24,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed,30,Claim Settled,
2977,"Anthem Health Plans, Inc",7001505,2020-04-08,2020-04-22,Group,Health Only,Claim Handling,Claim Denial,No Action Requested/Required,,0.0,Closed,14,Claim Dismissed,
2978,Esurance Property & Casualty Insurance Company,7046363,2022-07-07,2022-08-22,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid,0.0,Closed,46,Claim Settled,
2979,National Continental Insurance Company,7007746,2021-11-03,2021-11-17,Commercial,Commercial Auto,Underwriting,Underwriting Delays,Company Position Substantiated,Contract Provision,0.0,Closed,14,Claim Settled,
2980,CSAA Affinity Insurance Company,7003815,2020-08-25,2020-09-08,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
2981,Progressive Direct Insurance Company,7049264,2022-11-09,2022-12-15,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Overturned,Justified,568.65,Closed,36,Claim Dismissed,
2982,GEICO Indemnity Company,7045434,2022-05-23,2022-06-15,Individual Private Passenger,,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed,23,Claim Settled,
2983,State Farm Mutual Automobile Insurance Company,7012304,2018-12-28,2019-01-18,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
2984,LM General Insurance Company,7008034,2018-01-25,2018-02-06,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,12,Claim Settled,
2985,Gerber Life Insurance Company,7003247,2020-08-13,2020-09-08,Unknown,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,26,Claim Settled,
2986,Plymouth Rock Home Assurance Corporation,7006349,2021-08-27,2021-09-10,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
