,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
6360,"Anthem Health Plans, Inc",7043907,3/22/2022,4/28/2022,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,37
6366,Travelers Personal Insurance Company,7053618,4/21/2023,6/26/2023,Homeowners,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,66
6369,Old Dominion Insurance Company,7052781,3/20/2023,4/13/2023,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,24
6370,"Anthem Health Plans, Inc",7045036,5/10/2022,5/16/2022,Individual Private Passenger,Liability,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,6
6372,Farmers Direct Property and Casualty Insurance Company,7052745,3/17/2023,4/13/2023,Homeowners,Liability,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Company Position Upheld,0,Closed,27
6379,LM Insurance Corporation,7052813,3/21/2023,4/13/2023,Workers&squo; Compensation,Liability,Underwriting,Audit Dispute,Company Position Substantiated,Company Position Upheld,0,Closed,23
6381,"Anthem Health Plans, Inc",7044811,5/2/2022,5/4/2022,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,2
6388,"Anthem Health Plans, Inc",7044760,4/28/2022,5/2/2022,A & H,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,4
6399,Liberty Mutual Personal Insurance Company,7053844,4/27/2023,5/16/2023,Homeowners,Liability,Marketing & Sales,Duplication of Coverage,Company Position Substantiated,Company Position Upheld,0,Closed,19
6401,"Oxford Health Plans (CT), Inc",7015033,8/9/2018,8/23/2018,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Justified,0,Closed,14
6404,ACE American Insurance Company,7054035,5/4/2023,6/26/2023,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,53
6406,"Oxford Health Plans (CT), Inc",7012217,9/21/2018,10/16/2018,Group,Health Only,Claim Handling,UR Contract Provision,Company Position Substantiated,Justified,0,Closed,25
6409,ConnectiCare Inc,7051321,2/1/2023,2/2/2023,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,1
6410,"Oxford Health Plans (CT), Inc",7012238,9/24/2018,10/16/2018,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,Justified,524.84,Closed,22
6414,"Oxford Health Plans (CT), Inc",7013134,2/25/2019,3/8/2019,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Furnished Information,0,Closed,11
6416,"Oxford Health Plans (CT), Inc",7017767,5/1/2018,6/6/2018,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Furnished Information,0,Closed,36
6420,United States Fire Insurance Company,7050397,12/29/2022,2/3/2023,Travel,Liability,Claim Handling,Denial,Claim Settled,Corrective Action,4264.56,Closed,36
6425,"Oxford Health Plans (CT), Inc",7013568,10/15/2018,10/22/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,0,Closed,7
6427,"Oxford Health Plans (CT), Inc",7014486,9/12/2018,3/29/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,33574.27,Closed,198
6430,Globe Life and Accident Insurance Company,7051580,2/9/2023,4/13/2023,Individual Life,Whole Life,PolicyHolder Service,Surrender Problems,Company Position Substantiated,Unjustified,0,Closed,63
6431,Narragansett Bay Insurance Company,7050193,12/17/2022,1/3/2023,Homeowners,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Voluntary Reconsideration,0,Closed,17
6432,"Oxford Health Insurance, Incorporated",7049993,12/9/2022,1/3/2023,Group,A & H,Claim Handling,Denial,Claim Reopened,Claim Paid,126.52,Closed,25
6433,"Oxford Health Plans (CT), Inc",7015105,3/23/2018,5/29/2018,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Justified,256.89,Closed,67
6437,Federal Insurance Company,7050645,1/9/2023,2/3/2023,Individual,Limited Benefits,PolicyHolder Service,Premium Refund Delay,Company Position Substantiated,Premium Refund,11941.05,Closed,25
6438,Utica First Insurance Company,7054008,5/3/2023,5/16/2023,General,Liability,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,13
6439,"Oxford Health Plans (CT), Inc",7015698,5/30/2018,7/12/2018,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Justified,2555.76,Closed,43
6441,"Oxford Health Plans (CT), Inc",7015052,8/10/2018,8/17/2018,Group,Health Only,Claim Handling,UR Procedure,Company Position Substantiated,Justified,0,Closed,7
6447,Harco National Insurance Company,7049348,11/14/2022,1/3/2023,Commercial Multi&ndash;Peril,Liability,Underwriting,Nonrenewal,Company Position Substantiated,Justified,0,Closed,50
6448,Progressive Casualty Insurance Company,7053558,4/19/2023,5/16/2023,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,27
6454,"Oxford Health Plans (CT), Inc",7041245,12/2/2021,1/7/2022,A & H,A & H,Claim Handling,UR Procedure,Claim Settled,Claim Paid With Interest,34860.19,Closed,36
6456,State Automobile Mutual Insurance Company,7053638,4/23/2023,5/16/2023,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,23
6459,"Oxford Health Plans (CT), Inc",7040784,11/10/2021,11/29/2021,A & H,A & H,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Contract Provision,0,Closed,19
6467,"Oxford Health Plans (CT), Inc",7041904,1/6/2022,2/3/2022,Group,Health Only,Claim Handling,Unsatisfactory Settlement,Claim Settled,Claim Paid With Interest,1567.22,Closed,28
6470,"Anthem Health Plans, Inc",7052401,3/9/2023,4/13/2023,Individual,Health Only,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,Contract Provision,0,Closed,35
6485,"Anthem Health Plans, Inc",7053321,4/11/2023,4/14/2023,A & H,Self Funded/ERISA,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0,Closed,3
6486,"Oxford Health Plans (CT), Inc",7042866,2/9/2022,3/4/2022,Group,Health Only,Claim Handling,Provider Contract Issue,Company Position Substantiated,Contract Provision,0,Closed,23
6489,"Oxford Health Plans (CT), Inc",7017972,11/25/2019,12/9/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,711,Closed,14
6492,Progressive Casualty Insurance Company,7052623,3/14/2023,5/16/2023,Individual Private Passenger,Liability,Claim Handling,Claim Denial,No Jurisdiction,Policy not written in CT,0,Closed,63
6681,"ConnectiCare Benefits, Inc.",7053081,3/31/2023,6/27/2023,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid,2089.52,Closed,88
6683,"Anthem Health Plans, Inc",7053734,4/25/2023,6/27/2023,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,1864.5,Closed,63
6684,"Oxford Health Plans (CT), Inc",7009115,4/5/2021,4/22/2021,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Justified,5316.96,Closed,17
6690,"Oxford Health Plans (CT), Inc",7006625,1/5/2018,1/8/2018,Individual,Health Only,PolicyHolder Service,Delays/No Response,Company Position Substantiated,No Action Necessary,0,Closed,3
6692,Progressive Direct Insurance Company,7053608,4/21/2023,5/16/2023,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,25
6693,"Oxford Health Plans (CT), Inc",7009557,5/21/2021,6/4/2021,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Justified,360.69,Closed,14
6697,"Anthem Health Plans, Inc",7053633,4/21/2023,6/27/2023,Group,A & H,Claim Handling,Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0,Closed,67
6698,"Oxford Health Plans (CT), Inc",7007829,1/23/2018,2/13/2018,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,Justified,6656.94,Closed,21
6702,"Oxford Health Plans (CT), Inc",7010141,6/2/2021,6/25/2021,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Furnished Information,288,Closed,23
6705,"Oxford Health Plans (CT), Inc",7020809,9/17/2019,10/15/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,30636.05,Closed,28
6707,"Oxford Health Plans (CT), Inc",7006750,10/18/2021,11/18/2021,A & H,A & H,Claim Handling,Cost Containment,Claim Settled,Furnished Information,0,Closed,31
6715,"Oxford Health Plans (CT), Inc",7006814,1/9/2018,1/25/2018,Group,Health Only,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Justified,0,Closed,16
6719,"Oxford Health Plans (CT), Inc",7006986,10/25/2021,11/15/2021,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Claim Settled,Coverage Granted,0,Closed,21
6720,"ConnectiCare Benefits, Inc.",7054373,5/16/2023,6/27/2023,A & H,Health Exchange,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Premium Refund,2083.04,Closed,42
6722,Progressive Direct Insurance Company,7052998,3/28/2023,4/14/2023,Individual Private Passenger,Collision,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,17
6724,"Oxford Health Plans (CT), Inc",7021312,7/1/2019,7/26/2019,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Justified,411.82,Closed,25
6731,"Oxford Health Plans (CT), Inc",7021107,6/26/2019,7/22/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,1131.86,Closed,26
6737,"Oxford Health Plans (CT), Inc",7018438,12/12/2019,2/4/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,31676,Closed,54
6739,"Anthem Health Plans, Inc",7054820,6/2/2023,6/27/2023,Individual,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0,Closed,25
6742,United States Fire Insurance Company,7054996,6/8/2023,6/27/2023,Travel,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,19
6745,Allstate Fire and Casualty Insurance Company,7053195,4/5/2023,4/14/2023,Individual Private Passenger,Comprehensive,Claim Handling,Adjuster Handling,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,9
6748,"Oxford Health Plans (CT), Inc",7019452,7/11/2019,8/19/2019,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Justified,0,Closed,39
6750,Washington National Insurance Company,7055336,6/23/2023,6/27/2023,Individual Life,Whole Life,Claim Handling,Claim Procedure,Claim Settled,Claim Paid With Interest,0,Closed,4
6755,Metropolitan Life Insurance Company,7054894,6/6/2023,6/27/2023,Individual,Long Term Care,Underwriting,Premium/Rate Increase,Company Position Substantiated,Furnished Information,0,Closed,21
6757,Ohio Indemnity Company,7054784,6/1/2023,6/27/2023,Individual Private Passenger,Collision,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,26
6758,"Oxford Health Plans (CT), Inc",7021826,5/7/2019,6/10/2019,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Justified,5564,Closed,34
6760,Pacific Specialty Insurance Company,7051761,2/15/2023,3/15/2023,Homeowners,Liability,Underwriting,Cancellation,Company Position Substantiated,Cancellation Upheld,0,Closed,28
6768,"Oxford Health Plans (CT), Inc",7021908,8/13/2019,8/23/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,21,Closed,10
6770,"Oxford Health Plans (CT), Inc",7003997,10/2/2020,10/14/2020,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,No Action Necessary,0,Closed,12
6773,"ConnectiCare Benefits, Inc.",7053018,3/29/2023,6/27/2023,Individual,A & H,Claim Handling,"Usual, Customary, Reasonable (UCR) Charges",Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0,Closed,90
6776,Permanent General Assurance Corporation,7002040,4/16/2020,4/28/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,12
6778,Standard Fire Insurance Company (The),7049667,11/24/2022,12/7/2022,Individual Private Passenger,Comprehensive,Claim Handling,Steering,Company Position Substantiated,Company Position Upheld,0,Closed,13
6779,"Oxford Health Plans (CT), Inc",7000777,2/26/2020,3/10/2020,Group,Health Only,Claim Handling,Mandated Benefit,Company Position Substantiated,Justified,205.65,Closed,13
6782,American Fire and Casualty Company,7044058,3/29/2022,4/27/2022,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid,0,Closed,29
6783,"Oxford Health Plans (CT), Inc",7001226,3/24/2020,4/8/2020,Group,Health Only,Underwriting,No Subreason,Company Position Substantiated,Furnished Information,0,Closed,15
6787,State Farm Mutual Automobile Insurance Company,7047101,8/9/2022,8/19/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Voluntary Reconsideration,0,Closed,10
6788,"Oxford Health Plans (CT), Inc",7003316,8/18/2020,8/26/2020,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,8
6792,Esurance Insurance Company,7046807,7/26/2022,8/29/2022,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,34
6794,Globe Life and Accident Insurance Company,7016905,7/26/2018,8/23/2018,Individual Life,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Unjustified,0,Closed,28
6796,"Oxford Health Plans (CT), Inc",7002424,6/11/2020,6/24/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,4848.67,Closed,13
6799,Old Dominion Insurance Company,7017212,4/25/2018,7/11/2018,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Claim Settled,Company Position Upheld,0,Closed,77
6800,Indemnity Insurance Company of North America,7008442,8/9/2021,9/8/2021,Individual Private Passenger,Medical Payments,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,127.41,Closed,30
6801,Liberty Mutual Personal Insurance Company,7048430,10/4/2022,10/28/2022,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Claim Paid,654.63,Closed,24
6802,"Oxford Health Plans (CT), Inc",7000582,1/21/2020,2/7/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Furnished Information,275,Closed,17
6804,American Family Home Insurance Company,7008526,12/4/2017,1/16/2018,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,43
6805,"Oxford Health Plans (CT), Inc",7001626,4/1/2020,4/1/2020,Group,Health Only,Underwriting,No Subreason,Company Position Substantiated,Furnished Information,0,Closed,0
6807,Progressive Direct Insurance Company,7003354,8/20/2020,9/11/2020,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,22
6808,"Oxford Health Plans (CT), Inc",7001418,4/6/2020,4/6/2020,Group,Health Only,Claim Handling,Mandated Benefit,Company Position Substantiated,No Action Necessary,0,Closed,0
6809,Esurance Insurance Company,7010592,2/26/2021,3/16/2021,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,18
6810,"Oxford Health Plans (CT), Inc",7003461,7/31/2020,8/19/2020,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Justified,374.21,Closed,19
6814,"Oxford Health Plans (CT), Inc",7001689,4/20/2020,5/13/2020,Group,Health Only,Underwriting,Cancellation,Company Position Substantiated,Justified,0,Closed,23
6816,"Oxford Health Plans (CT), Inc",7001690,4/20/2020,4/23/2020,Group,Health Only,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Justified,1378.32,Closed,3
6818,"Anthem Health Plans, Inc",7049214,11/7/2022,1/9/2023,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0,Closed,63
6819,Indemnity Insurance Company of North America,7050728,1/12/2023,2/28/2023,Inland Marine,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,47
6821,State Farm Mutual Automobile Insurance Company,7053044,3/29/2023,5/17/2023,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0,Closed,49
6824,"Oxford Health Plans (CT), Inc",7000262,1/24/2020,2/6/2020,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,724.24,Closed,13
6828,American Commerce Insurance Company,7000356,1/31/2020,2/14/2020,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Justified,1342,Closed,14
6829,USAA General Indemnity Company,7054966,6/7/2023,6/27/2023,Homeowners,Liability,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,20
6830,"Anthem Health Plans, Inc",7008245,2/23/2018,4/4/2018,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Company Position Upheld,0,Closed,40
6831,Permanent General Assurance Corporation,7040828,11/13/2021,5/17/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Overturned,Corrective Action,0,Closed,185
6833,"ConnectiCare Benefits, Inc.",7050867,1/18/2023,4/17/2023,Individual,Health Exchange,Claim Handling,Contract Provision,Company Position Substantiated,Claim Paid,154,Closed,89
6834,"Oxford Health Plans (CT), Inc",7011186,3/9/2021,6/9/2021,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Justified,321216,Closed,92
6836,"Anthem Health Plans, Inc",7054212,5/11/2023,5/17/2023,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,6
6838,"ConnectiCare Benefits, Inc.",7053757,4/26/2023,5/17/2023,A & H,Exchange,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Granted,0,Closed,21
6842,"Oxford Health Plans (CT), Inc",7005395,1/8/2021,1/28/2021,Group,Health Only,Claim Handling,UR Time Delay,Company Position Substantiated,Furnished Information,0,Closed,20
6843,Farmers Casualty Insurance Company,7053123,4/3/2023,5/17/2023,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,44
6844,"Oxford Health Plans (CT), Inc",7041228,12/1/2021,12/9/2021,Group,Health Only,Underwriting,Non&ndash;Renewal,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0,Closed,8
6845,Allstate Fire and Casualty Insurance Company,7007799,1/22/2018,2/14/2018,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,23
6846,AXIS Insurance Company,7051971,2/22/2023,3/16/2023,Watercraft,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Justified,0,Closed,22
6847,"Oxford Health Plans (CT), Inc",7011710,1/27/2021,3/1/2021,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Justified,30382.07,Closed,33
6849,"Oxford Health Plans (CT), Inc",7011716,1/28/2021,4/8/2021,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Justified,73385.57,Closed,70
6851,State Farm Mutual Automobile Insurance Company,7000080,1/13/2020,2/26/2020,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Questionable,0,Closed,44
6852,Bankers Life and Casualty Company,7020634,9/9/2019,9/26/2019,Individual,Long Term Care,Marketing & Sales,Misrepresentation,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,17
6853,Progressive Direct Insurance Company,7040991,11/19/2021,1/7/2022,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,49
6854,State Farm Fire & Casualty Company,7004937,11/6/2020,12/16/2020,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,40
6855,"Oxford Health Plans (CT), Inc",7011082,6/15/2021,7/16/2021,Group,Health Only,Claim Handling,UR Procedure,Company Position Substantiated,Justified,0,Closed,31
6856,Selective Insurance Company of South Carolina,7018928,11/12/2019,12/10/2019,Commercial Multi&ndash;Peril,Commercial Multi&ndash;Peril,Claim Handling,Claim Denial,Company Position Substantiated,Corrective Action,0,Closed,28
6861,UnitedHealthcare Insurance Company,7053870,4/28/2023,6/27/2023,Group,Health Only,Claim Handling,Contract Provision,Company Position Substantiated,Contract Provision,0,Closed,60
6863,"Oxford Health Plans (CT), Inc",7011670,6/25/2021,8/10/2021,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,46
6865,Western World Insurance Company,7052622,3/14/2023,5/17/2023,General,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,64
6867,CSAA Affinity Insurance Company,7012506,1/3/2019,1/22/2019,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,19
6868,Progressive Direct Insurance Company,7016282,6/8/2018,7/26/2018,Individual Private Passenger,Liability,Claim Handling,Storage Fees,Company Position Substantiated,Company Position Upheld,0,Closed,48
6870,"Oxford Health Plans (CT), Inc",7005068,12/14/2020,2/1/2021,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Justified,3441.43,Closed,49
6873,USAA General Indemnity Company,7021969,3/20/2019,4/3/2019,Individual Private Passenger,Medical Payments,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,14
6874,"Oxford Health Plans (CT), Inc",7005788,10/1/2021,10/19/2021,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,18
6876,"Oxford Health Plans (CT), Inc",7005520,1/19/2021,3/23/2021,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Justified,0,Closed,63
6878,Utica Mutual Insurance Company,7048311,9/29/2022,10/7/2022,Homeowners,Theft,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,8
6882,"Oxford Health Plans (CT), Inc",7042056,1/14/2022,1/18/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,4
6883,"Oxford Health Plans (CT), Inc",7042134,1/17/2022,2/1/2022,Group,Health Only,Claim Handling,UR Contract Provision,Company Position Substantiated,Contract Provision,0,Closed,15
6886,Farmers Group Property and Casualty Insurance Company,7044667,4/25/2022,5/10/2022,Individual Private Passenger,Collision,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,15
6887,Founders Insurance Company,7045881,6/15/2022,7/19/2022,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,34
6889,Steadfast Insurance Company,7008610,1/30/2018,3/6/2018,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,14788.26,Closed,35
6891,Progressive Direct Insurance Company,7053790,4/26/2023,5/17/2023,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,21
6892,"Oxford Health Plans (CT), Inc",7004098,10/9/2020,10/21/2020,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,213.96,Closed,12
6894,ConnectiCare Inc,7052437,3/9/2023,3/16/2023,A & H,A & H,Claim Handling,Medical Necessity,Complaint Withdrawn,Coverage Granted,0,Closed,7
6897,GEICO General Insurance Company,7014907,3/20/2018,7/19/2018,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,121
6898,"Oxford Health Plans (CT), Inc",7021031,9/26/2019,10/3/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,157.82,Closed,7
6900,"Oxford Health Plans (CT), Inc",7003396,8/21/2020,8/21/2020,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,0
6904,"Oxford Health Plans (CT), Inc",7041847,1/4/2022,1/20/2022,Group,Dental,Marketing & Sales,Producer Handling,Company Position Substantiated,Furnished Information,0,Closed,16
6907,"Oxford Health Plans (CT), Inc",7042300,1/24/2022,2/4/2022,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Furnished Information,0,Closed,11
6909,"Oxford Health Plans (CT), Inc",7042298,1/24/2022,3/25/2022,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Claim Paid With Interest,20944.68,Closed,60
6913,"Oxford Health Plans (CT), Inc",7043246,2/22/2022,3/29/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,35
6914,"Oxford Health Plans (CT), Inc",7041928,1/6/2022,2/8/2022,Group,Pharmacy Benefits,Claim Handling,UR Contract Provision,Company Position Substantiated,Contract Provision,0,Closed,33
6915,"Oxford Health Plans (CT), Inc",7042729,2/6/2022,2/28/2022,Group,Health Only,PolicyHolder Service,Continuity of Care,Compromised Settlement/Resolution,Voluntary Reconsideration,0,Closed,22
6918,"Oxford Health Plans (CT), Inc",7043578,3/8/2022,3/30/2022,Group,Health Only,Claim Handling,Medically Necessary,Compromised Settlement/Resolution,Coverage Granted,0,Closed,22
6921,"Oxford Health Plans (CT), Inc",7045116,5/12/2022,5/20/2022,Group,HMO,Claim Handling,Claim Procedure,Company Position Substantiated,Contract Provision,0,Closed,8
6923,"Oxford Health Plans (CT), Inc",7043785,3/15/2022,5/3/2022,Group,Health Only,Claim Handling,Claim Delays,Complaint Withdrawn,Company Position Upheld,0,Closed,49
6924,ConnectiCare Inc,7054484,5/19/2023,6/27/2023,Individual Private Passenger,Liability,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,39
6925,"Oxford Health Plans (CT), Inc",7044854,5/3/2022,5/13/2022,Group,Health Only,Claim Handling,Unsatisfactory Settlement,Claim Settled,Claim Paid With Interest,774.2,Closed,10
6928,"Oxford Health Plans (CT), Inc",7043591,3/8/2022,3/14/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,6
6929,Liberty Insurance Corporation,7053731,4/25/2023,5/17/2023,Condo/Townhome,Hazard,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,22
6930,"Oxford Health Plans (CT), Inc",7045374,5/19/2022,5/23/2022,Individual Private Passenger,Liability,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Jurisdiction,No Authority,0,Closed,4
6931,Farmers Casualty Insurance Company,7013026,11/19/2018,12/18/2018,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,Company Position Upheld,0,Closed,29
